account_number,parcel_number,property_type,economic_area,site_address
M000002,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 8, GUNNISON"
M000003,370135300017,Residential,1,"321 N 8TH ST , GUNNISON"
M000012,378702213005,Exempt,1,"315 REED ST UNIT# 15, GUNNISON"
M000013,378702200058,Exempt,1,"301 S 2ND ST UNIT# 44, GUNNISON"
M000014,378702213005,Residential,1,"314 REED ST UNIT# 14, GUNNISON"
M000017,378702233001,Exempt,1,"700 US HIGHWAY 50 UNIT# 7, GUNNISON"
M000020,378702213005,Exempt,1,"310 REED ST UNIT# 10, GUNNISON"
M000021,378702213005,Exempt,1,"319 S REED ST , GUNNISON"
M000022,378702107007,Exempt,1,"502 W GUNNISON AVE UNIT# 3, GUNNISON"
M000024,378702200058,Exempt,1,"301 S 2ND ST UNIT# 62, GUNNISON"
M000025,378702213005,Exempt,1,"317 REED ST UNIT# 17, GUNNISON"
M000027,378702213005,Exempt,1,"325 REED ST UNIT# 25, GUNNISON"
M000028,378702201010,Exempt,1,"1120 W NEW YORK AVE UNIT# 1, GUNNISON"
M000030,378702213005,Residential,1,"301 REED ST UNIT# 1, GUNNISON"
M000038,370135446003,Residential,1,"220 N BOULEVARD ST UNIT# 1, GUNNISON"
M000042,378700000052,Vacant,1,"COUNTY ROAD 38 , GUNNISON"
M000043,378702107001,Residential,1,"507 W NEW YORK AVE UNIT# 4, GUNNISON"
M000044,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 40, ALMONT"
M000045,378702213005,Residential,1,"302 REED ST UNIT# 2, GUNNISON"
M000057,378702200058,Residential,1,"301 S 2ND ST UNIT# 3, GUNNISON"
M000066,378702233001,Exempt,1,"700 US HIGHWAY 50 , GUNNISON"
M000067,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 38, GUNNISON"
M000069,370135437002,Residential,1,"118 N 8TH ST UNIT# 2, GUNNISON"
M000071,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 15, GUNNISON"
M000085,370135430005,Residential,1,"321 N 10TH ST UNIT# 2, GUNNISON"
M000086,370135446003,Residential,1,"220 N BOULEVARD ST UNIT# 13, GUNNISON"
M000087,378701238010,Residential,1,"404 W RIO GRANDE AVE UNIT# 12, GUNNISON"
M000091,378500000018,Residential,8,"28357 US HIGHWAY 50 UNIT# 102, BLUE MESA RESERVOIR AREA"
M000092,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 30, GUNNISON"
M000095,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 18, GUNNISON"
M000097,378702107007,Residential,1,"502 W GUNNISON AVE UNIT# 1, GUNNISON"
M000098,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 6, GUNNISON"
M000103,378702107001,Residential,1,"507 W NEW YORK AVE UNIT# 3, GUNNISON"
M000104,378702200058,Residential,1,"301 S 2ND ST UNIT# 4, GUNNISON"
M000105,398300000027,Residential,8,"12457 US HIGHWAY 50 , PINE CREEK MESA / BLUE MESA AREA"
M000107,378702200058,Residential,1,"301 S 2ND ST UNIT# 40, GUNNISON"
M000108,370135446003,Exempt,1,"220 N BOULEVARD ST UNIT# 3, GUNNISON"
M000109,378702200058,Exempt,1,"301 S 2ND ST UNIT# 63, GUNNISON"
M000111,378702200058,Residential,1,"301 S 2ND ST UNIT# 67, GUNNISON"
M000114,378701238007,Exempt,1,"404 W RIO GRANDE AVE UNIT# 4, GUNNISON"
M000115,378702213005,Residential,1,"303 REED ST UNIT# 3, GUNNISON"
M000118,370135332001,Exempt,1,"117 N 7TH ST , GUNNISON"
M000120,378702200058,Exempt,1,"301 S 2ND ST UNIT# 37, GUNNISON"
M000121,378702200058,Residential,1,"301 S 2ND ST UNIT# 42, GUNNISON"
M000123,378701238007,Residential,1,"404 W RIO GRANDE AVE UNIT# 1, GUNNISON"
M000126,378702200058,Residential,1,"301 S 2ND ST UNIT# 45, GUNNISON"
M000129,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 26, GUNNISON"
M000130,378702213005,Exempt,1,"306 S REED ST UNIT# 6, GUNNISON"
M000131,378702233001,Exempt,1,"700 US HIGHWAY 50 UNIT# 4, GUNNISON"
M000133,378702200058,Residential,1,"301 S 2ND ST , GUNNISON"
