account_number,parcel_number,total_actual_value,total_assessed_precalc,alt_assessed_precalc,lg_mill_levy,school_mill_levy,total_mill_levy,tax_district,tax_year
M000002,370135300045.0,37670,2350,2660,23.973,26.677,50.65,100,2025
M000003,370135300017.0,82740,5170,5830,23.973,26.677,50.65,100,2025
M000012,378702213005.0,10640,670,750,23.973,26.677,50.65,100,2025
M000013,378702200058.0,18860,1180,1330,23.973,26.677,50.65,100,2025
M000021,378702213005.0,23060,1440,1630,23.973,26.677,50.65,100,2025
M000022,378702107007.0,8280,520,580,23.973,26.677,50.65,100,2025
M000028,378702201010.0,8530,530,600,23.973,26.677,50.65,100,2025
M000030,378702213005.0,35170,2200,2480,23.973,26.677,50.65,100,2025
M000038,370135446003.0,50450,3150,3560,23.973,26.677,50.65,100,2025
M000043,378702107001.0,28910,1810,2040,23.973,26.677,50.65,100,2025
M000067,370135300045.0,62190,3890,4380,23.973,26.677,50.65,100,2025
M000085,370135430005.0,34860,2180,2460,23.973,26.677,50.65,100,2025
M000087,378701238010.0,212360,13270,14970,23.973,26.677,50.65,100,2025
M000091,378500000018.0,74040,4630,5220,24.619,26.677,51.296,601,2025
M000095,370135300045.0,18250,1140,1290,23.973,26.677,50.65,100,2025
M000098,370135300045.0,55130,3450,3890,23.973,26.677,50.65,100,2025
M000103,378702107001.0,38050,2380,2680,23.973,26.677,50.65,100,2025
M000104,378702200058.0,43900,2740,1550,23.973,26.677,50.65,100,2025
M000107,378702200058.0,31450,1970,2220,23.973,26.677,50.65,100,2025
M000108,370135446003.0,1540,100,110,23.973,26.677,50.65,100,2025
M000111,378702200058.0,45860,2870,3230,23.973,26.677,50.65,100,2025
M000118,370135332001.0,20580,1290,1450,23.973,26.677,50.65,100,2025
M000126,378702200058.0,43240,2700,3050,23.973,26.677,50.65,100,2025
M000130,378702213005.0,18740,1170,1320,23.973,26.677,50.65,100,2025
M000131,378702233001.0,16060,1000,1130,23.973,26.677,50.65,100,2025
M000138,370135300045.0,71670,4480,5050,23.973,26.677,50.65,100,2025
M000141,378702200058.0,39970,2500,2820,23.973,26.677,50.65,100,2025
M000156,378702106003.0,32290,2020,2280,23.973,26.677,50.65,100,2025
M000158,378702200058.0,54870,3430,3870,23.973,26.677,50.65,100,2025
M000161,378702213005.0,36380,2270,2560,23.973,26.677,50.65,100,2025
M000165,378702200058.0,34590,2160,2440,23.973,26.677,50.65,100,2025
M000174,378701238010.0,18450,1150,1300,23.973,26.677,50.65,100,2025
M000179,378702213005.0,15160,950,1070,23.973,26.677,50.65,100,2025
M000183,378702117005.0,37300,2330,2630,23.973,26.677,50.65,100,2025
M000187,370135300045.0,89110,5570,6280,23.973,26.677,50.65,100,2025
M000189,378701238010.0,15970,1000,1130,23.973,26.677,50.65,100,2025
M000190,378702233001.0,40360,2520,2850,23.973,26.677,50.65,100,2025
M000192,378702200058.0,101400,6340,7150,23.973,26.677,50.65,100,2025
M000196,370135300045.0,19170,1200,1350,23.973,26.677,50.65,100,2025
M000199,378702200058.0,113570,7100,8010,23.973,26.677,50.65,100,2025
